X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
5000	9000	0.1	-3.52E-05	4.34E-06	0.0189269	-0.0198183	-0.0239623	0.0245661	2.96E-07	-5.08E-06	11.9108	1.234712262	9.64662
6000	9000	0.1	-0.000137459	6.61E-05	0.0188725	-0.0198845	-0.0240961	0.0246704	0.000578381	-0.000246171	11.9729	1.241454753	9.64425
7000	9000	0.1	-3.62E-05	4.85E-06	0.0125452	-0.0136599	-0.019085	0.0201407	0.00018236	-8.75E-05	6.51755	0.675806269	9.64411
8000	9000	0.1	6.50E-05	-0.000121859	0.0253873	-0.0282976	-0.0253042	0.0281769	-7.80E-05	5.70E-05	18.2344	1.89072916	9.64411
9000	9000	0.1	2.70E-06	-2.02E-06	0.0188321	-0.0199949	-0.0189993	0.0200249	-1.83E-05	-9.63E-08	9.60269	0.995720638	9.64396
-9000	-9000	0.2	-2.61E-06	2.52E-06	0.0131681	-0.0124339	-0.0131884	0.0124363	1.70E-05	-4.36E-06	8.3159	0.999012508	8.32412
-8000	-9000	0.2	9.30E-06	7.58E-06	0.0131239	-0.0124179	-0.0132035	0.0124483	-1.54E-05	-1.91E-06	8.30491	0.997692249	8.32412
-7000	-9000	0.2	1.82E-05	1.06E-05	0.0154332	-0.0148538	-0.01547	0.0148781	-3.19E-05	-3.19E-06	11.6456	1.399585374	8.32075
-6000	-9000	0.2	2.74E-05	1.17E-05	0.0154552	-0.0148522	-0.015456	0.014866	-3.61E-05	5.22E-06	11.6435	1.398763115	8.32414
-5000	-9000	0.2	1.95E-05	3.61E-06	0.0131565	-0.0124158	-0.0131916	0.012447	-2.37E-05	6.36E-06	8.31077	0.997916697	8.32812
-4000	-9000	0.2	1.42E-05	-1.09E-06	0.0132222	-0.0124532	-0.0131605	0.0124324	-2.59E-05	-9.59E-06	8.32946	0.999867956	8.33056
-3000	-9000	0.2	2.01E-05	6.00E-06	0.0132076	-0.0124652	-0.0132882	0.0124646	-5.54E-05	-2.74E-05	8.38132	1.005211163	8.33787
-2000	-9000	0.2	2.13E-05	7.07E-06	0.0131055	-0.012443	-0.0131746	0.0124252	-5.50E-05	-9.38E-06	8.2898	0.993472167	8.34427
-1000	-9000	0.2	9.81E-06	-3.22E-06	0.0177895	-0.0173661	-0.0222891	0.0216896	-2.16E-05	-7.38E-06	19.5848	2.346398299	8.34675
0	-9000	0.2	-8.50E-07	-5.30E-06	0.0178311	-0.0173384	-0.0222655	0.0217007	2.75E-05	1.58E-05	19.5873	2.346427943	8.34771
1000	-9000	0.2	-1.70E-05	-3.98E-06	0.0132087	-0.0123727	-0.013083	0.0124725	2.52E-05	2.11E-05	8.28659	0.993548271	8.3404
